Country Name,Country Code,1992 [YR1992] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],1992 [YR1992] - CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],1992 [YR1992] - CO2 emissions (kt) [EN.ATM.CO2E.KT],"1992 [YR1992] - Population, total [SP.POP.TOTL]",1993 [YR1993] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],1993 [YR1993] - CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],1993 [YR1993] - CO2 emissions (kt) [EN.ATM.CO2E.KT],"1993 [YR1993] - Population, total [SP.POP.TOTL]",1994 [YR1994] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],1994 [YR1994] - CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],1994 [YR1994] - CO2 emissions (kt) [EN.ATM.CO2E.KT],"1994 [YR1994] - Population, total [SP.POP.TOTL]",1995 [YR1995] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],1995 [YR1995] - CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],1995 [YR1995] - CO2 emissions (kt) [EN.ATM.CO2E.KT],"1995 [YR1995] - Population, total [SP.POP.TOTL]",1996 [YR1996] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],1996 [YR1996] - CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],1996 [YR1996] - CO2 emissions (kt) [EN.ATM.CO2E.KT],"1996 [YR1996] - Population, total [SP.POP.TOTL]",1997 [YR1997] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],1997 [YR1997] - CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],1997 [YR1997] - CO2 emissions (kt) [EN.ATM.CO2E.KT],"1997 [YR1997] - Population, total [SP.POP.TOTL]",1998 [YR1998] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],1998 [YR1998] - CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],1998 [YR1998] - CO2 emissions (kt) [EN.ATM.CO2E.KT],"1998 [YR1998] - Population, total [SP.POP.TOTL]",1999 [YR1999] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],1999 [YR1999] - CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],1999 [YR1999] - CO2 emissions (kt) [EN.ATM.CO2E.KT],"1999 [YR1999] - Population, total [SP.POP.TOTL]",2000 [YR2000] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2000 [YR2000] - CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],2000 [YR2000] - CO2 emissions (kt) [EN.ATM.CO2E.KT],"2000 [YR2000] - Population, total [SP.POP.TOTL]",2001 [YR2001] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2001 [YR2001] - CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],2001 [YR2001] - CO2 emissions (kt) [EN.ATM.CO2E.KT],"2001 [YR2001] - Population, total [SP.POP.TOTL]",2002 [YR2002] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2002 [YR2002] - CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],2002 [YR2002] - CO2 emissions (kt) [EN.ATM.CO2E.KT],"2002 [YR2002] - Population, total [SP.POP.TOTL]",2003 [YR2003] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2003 [YR2003] - CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],2003 [YR2003] - CO2 emissions (kt) [EN.ATM.CO2E.KT],"2003 [YR2003] - Population, total [SP.POP.TOTL]",2004 [YR2004] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2004 [YR2004] - CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],2004 [YR2004] - CO2 emissions (kt) [EN.ATM.CO2E.KT],"2004 [YR2004] - Population, total [SP.POP.TOTL]",2005 [YR2005] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2005 [YR2005] - CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],2005 [YR2005] - CO2 emissions (kt) [EN.ATM.CO2E.KT],"2005 [YR2005] - Population, total [SP.POP.TOTL]",2006 [YR2006] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2006 [YR2006] - CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],2006 [YR2006] - CO2 emissions (kt) [EN.ATM.CO2E.KT],"2006 [YR2006] - Population, total [SP.POP.TOTL]",2007 [YR2007] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2007 [YR2007] - CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],2007 [YR2007] - CO2 emissions (kt) [EN.ATM.CO2E.KT],"2007 [YR2007] - Population, total [SP.POP.TOTL]",2008 [YR2008] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2008 [YR2008] - CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],2008 [YR2008] - CO2 emissions (kt) [EN.ATM.CO2E.KT],"2008 [YR2008] - Population, total [SP.POP.TOTL]",2009 [YR2009] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2009 [YR2009] - CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],2009 [YR2009] - CO2 emissions (kt) [EN.ATM.CO2E.KT],"2009 [YR2009] - Population, total [SP.POP.TOTL]",2010 [YR2010] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2010 [YR2010] - CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],2010 [YR2010] - CO2 emissions (kt) [EN.ATM.CO2E.KT],"2010 [YR2010] - Population, total [SP.POP.TOTL]",2011 [YR2011] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2011 [YR2011] - CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],2011 [YR2011] - CO2 emissions (kt) [EN.ATM.CO2E.KT],"2011 [YR2011] - Population, total [SP.POP.TOTL]",2012 [YR2012] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2012 [YR2012] - CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],2012 [YR2012] - CO2 emissions (kt) [EN.ATM.CO2E.KT],"2012 [YR2012] - Population, total [SP.POP.TOTL]",2013 [YR2013] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2013 [YR2013] - CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],2013 [YR2013] - CO2 emissions (kt) [EN.ATM.CO2E.KT],"2013 [YR2013] - Population, total [SP.POP.TOTL]",2014 [YR2014] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2014 [YR2014] - CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],2014 [YR2014] - CO2 emissions (kt) [EN.ATM.CO2E.KT],"2014 [YR2014] - Population, total [SP.POP.TOTL]",2015 [YR2015] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2015 [YR2015] - CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],2015 [YR2015] - CO2 emissions (kt) [EN.ATM.CO2E.KT],"2015 [YR2015] - Population, total [SP.POP.TOTL]",2016 [YR2016] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2016 [YR2016] - CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],2016 [YR2016] - CO2 emissions (kt) [EN.ATM.CO2E.KT],"2016 [YR2016] - Population, total [SP.POP.TOTL]",2017 [YR2017] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2017 [YR2017] - CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],2017 [YR2017] - CO2 emissions (kt) [EN.ATM.CO2E.KT],"2017 [YR2017] - Population, total [SP.POP.TOTL]",2018 [YR2018] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2018 [YR2018] - CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],2018 [YR2018] - CO2 emissions (kt) [EN.ATM.CO2E.KT],"2018 [YR2018] - Population, total [SP.POP.TOTL]"
Afghanistan,AFG,..,0.098719116,1430,14485543,..,0.085985605,1360,15816601,..,0.076131454,1300,17075728,..,0.069020116,1250,18110662,..,0.062588034,1180,18853444,..,0.056826618,1100,19357126,..,0.053197499,1050,19737770,..,0.04065273,820,20170847,..,0.037054937,770,20779957,..,0.037487865,810,21606992,319.8471073,0.0486709,1100,22600774,332.2200097,0.057008038,1350,23680871,322.6680095,0.045699608,1130,24726689,345.9258138,0.06392697,1640,25654274,353.720597,0.073392946,1940,26433058,392.7104656,0.087083129,2360,27100542,398.9711165,0.158356378,4390,27722281,472.8422916,0.211306251,6000,28394806,526.1036756,0.297065212,8670,29185511,511.9985148,0.407073503,12260,30117411,557.9496921,0.335351023,10450,31161378,568.9645435,0.263715761,8510,32269592,565.1792733,0.234036914,7810,33370804,556.0072209,0.232175631,7990,34413603,552.9969077,0.208857196,7390,35383028,553.3550517,0.203327569,7380,36296111,546.7430101,0.200151071,7440,37171922
Albania,ALB,1086.438487,0.689859284,2240,3247039,1197.580594,0.641405614,2070,3227287,1305.000719,0.667178794,2140,3207536,1488.020491,0.611710204,1950,3187784,1633.551572,0.621836957,1970,3168033,1464.297579,0.470097809,1480,3148281,1603.64723,0.575350085,1800,3128530,1821.872654,0.955359308,2970,3108778,1960.881946,1.026213109,3170,3089027,2143.526278,1.052228093,3220,3060173,2247.497491,1.229101183,3750,3051010,2380.643997,1.352144481,4110,3039616,2522.448714,1.417273358,4290,3026939,2675.507936,1.351491805,4070,3011487,2851.367012,1.353362203,4050,2992547,3044.895819,1.420867288,4220,2970017,3298.478044,1.414847553,4170,2947314,3432.169973,1.47565225,4320,2927519,3577.113388,1.572250938,4580,2913021,3678.046738,1.734823308,5040,2905195,3736.339101,1.579091995,4580,2900401,3780.698202,1.654524278,4790,2895092,3855.759734,1.806788541,5220,2889104,3952.802538,1.759987059,5070,2880703,4090.371657,1.714126173,4930,2876101,4249.803734,1.948872038,5600,2873457,4431.539181,1.939731563,5560,2866376
Algeria,DZA,2994.49132,2.447801991,66160,27028330,2867.195894,2.658535391,73470,27635517,2783.15504,2.535995092,71550,28213777,2834.265193,2.540181463,73050,28757788,2899.193202,2.439998203,71410,29266415,2884.120228,2.448645025,72830,29742980,2986.055666,2.468804597,74540,30192750,3038.272915,2.532050158,77540,30623406,3111.176169,2.531711792,78590,31042238,3162.811507,2.377310115,74770,31451513,3297.612811,2.524241794,80410,31855110,3490.223247,2.598549059,83840,32264159,3592.645301,2.596647581,84890,32692153,3752.096161,2.684487229,88990,33149720,3760.155368,2.786777459,93750,33641007,3828.148476,2.942022144,100520,34166976,3856.407659,2.994189217,103990,34730604,3851.213777,3.191554214,112770,35333882,3918.48642,3.144747525,113140,35977451,3956.895815,3.222459523,118140,36661438,4012.361506,3.387554626,126640,37383899,4042.923638,3.406123235,129910,38140135,4112.076024,3.566208834,138810,38923688,4177.889542,3.674232947,145970,39728020,4224.037263,3.535019927,143350,40551398,4192.337692,3.505747662,145100,41389174,4154.219038,3.591657418,151670,42228415
American Samoa,ASM,..,..,..,49900,..,..,..,51025,..,..,..,52099,..,..,..,53158,..,..,..,54209,..,..,..,55227,..,..,..,56180,..,..,..,57049,..,..,..,57816,..,..,..,58496,12609.36852,..,..,59077,12641.66788,..,..,59495,12653.28184,..,..,59684,12628.50766,..,..,59557,12202.73737,..,..,59109,12586.71604,..,..,58367,12439.14972,..,..,57490,12092.27651,..,..,56675,12256.34286,..,..,56084,12328.66528,..,..,55755,11812.45911,..,..,55669,11507.22565,..,..,55717,11694.54539,..,..,55791,12059.63516,..,..,55806,11871.35955,..,..,55739,11066.06017,..,..,55617,11393.60566,..,..,55461
Andorra,AND,28792.19813,6.9630787,410,58882,27517.54879,6.724177518,410,60974,27408.28009,6.541578914,410,62676,27641.88642,6.733479486,430,63860,28701.09471,6.99159455,450,64363,31325.51738,7.307441152,470,64318,32416.01423,7.63953851,490,64140,33625.24377,7.923191648,510,64368,34267.58224,7.952286282,520,65390,35974.87965,7.721549062,520,67344,36158.58643,7.566240292,530,70048,37620.20554,7.242415961,530,73180,39042.95877,7.344262295,560,76250,39782.92876,7.353780223,580,78871,40602.53758,6.790542626,550,80995,40391.87146,6.531046661,540,82682,37610.56095,6.439303601,540,83860,35362.69655,6.156687702,520,84461,34667.17131,6.157198001,520,84454,34956.59623,5.850885991,490,83748,33750.05692,5.944654058,490,82427,33220.56195,5.942800545,480,80770,34721.89197,5.807127618,460,79213,35770.7767,6.026181837,470,77993,37432.76266,6.080600298,470,77295,37707.6836,6.104133927,470,76997,38301.29844,5.97340536,460,77008
Angola,AGO,2669.434706,0.503264464,6370,12657361,1964.389715,0.527722889,6900,13075044,1927.50049,0.495417829,6690,13503753,2146.455653,0.773025567,10780,13945205,2360.087804,0.792321385,11410,14400722,2451.60866,0.7887532,11730,14871572,2485.066842,0.740253652,11370,15359600,2458.09645,0.79725864,12650,15866871,2451.509826,0.754476372,12370,16395477,2471.664627,0.761842805,12910,16945753,2717.44097,0.777423086,13620,17519418,2705.706139,0.993848349,18010,18121477,2900.166963,1.028353667,19290,18758138,3220.078085,0.937036692,18210,19433604,3464.234669,1.00943404,20340,20149905,3806.849178,1.123635278,23490,20905360,4077.776844,1.155992846,25080,21695636,3963.24842,1.205901589,27150,22514275,3988.623646,1.221514741,28530,23356247,3979.815051,1.216316979,29460,24220660,4167.125797,1.204798883,30250,25107925,4220.964805,1.261541742,32820,26015786,4272.455537,1.285364553,34630,26941773,4166.979833,1.260920989,35160,27884380,3924.620471,1.227702942,35410,28842482,3790.791565,1.0343173,30840,29816769,3595.106667,0.887380364,27340,30809787
Antigua and Barbuda,ATG,11908.49317,4.49898385,290,64459,12286.03334,3.800720617,250,65777,12828.61044,3.720182735,250,67201,12006.51861,3.931733458,270,68672,12525.16794,3.98996808,280,70176,12928.44177,4.183691969,300,71707,13260.49429,4.507026865,330,73219,13484.18646,4.419208828,330,74674,14069.51484,4.341705369,330,76007,13220.04483,4.532974149,350,77212,13170.62601,4.98097014,390,78298,13792.50092,5.169522513,410,79311,14399.82072,4.978406163,400,80347,15122.18561,5.033021532,410,81462,16785.74705,5.319470471,440,82715,18062.46566,5.474300539,460,84029,17771.19316,5.621003818,480,85394,15401.96864,16.02434779,1390,86743,13986.84089,5.566284221,490,88030,13525.44491,5.714285714,510,89250,13802.70749,7.96398509,720,90407,13554.4014,5.136050705,470,91510,13908.99163,5.18571336,480,92562,14285.32978,5.236665206,490,93571,14919.20605,5.289885738,500,94520,15242.37307,5.239717055,500,95425,16146.59275,5.504663385,530,96282
Argentina,ARG,9338.699517,3.201675429,107350,33529320,9974.004419,3.268462271,111030,33970103,10423.37888,3.308173561,113810,34402669,10003.09169,3.267757293,113810,34828168,10430.68249,3.590723767,126560,35246376,11146.72103,3.570643522,127320,35657438,11445.56494,3.692658254,133170,36063451,10935.64459,3.67974327,134190,36467218,10730.60822,3.577628213,131910,36870796,10146.10682,3.349908589,124870,37275644,8943.308002,3.117424796,117470,37681743,9629.844086,3.370102174,128360,38087866,10389.15127,3.685184209,141850,38491970,11192.17958,3.762123928,146320,38892924,11970.65539,3.954453814,155370,39289876,12919.23536,4.123292779,163630,39684303,13310.62368,4.195342638,168150,40080159,12398.28358,3.889060402,157440,40482786,13551.33919,4.122245087,168140,40788453,14200.26989,4.296015486,177260,41261490,13895.63371,4.277881789,178530,41733271,14071.50868,4.359886344,184000,42202935,13567.94842,4.216360632,179910,42669500,13789.06042,4.314433522,186090,43131966,13360.21183,4.227539442,184280,43590368,13595.03736,4.089471516,180120,44044811,13105.39716,3.987234198,177410,44494502
Armenia,ARM,871.6971672,3.163104664,10890,3442820,813.8298113,1.498612445,5040,3363111,878.530223,0.83443373,2740,3283664,958.5062383,1.090960291,3510,3217349,1030.463922,0.811182834,2570,3168213,1076.625039,1.066043297,3340,3133081,1164.282219,1.116225447,3470,3108691,1210.362395,1.006791798,3110,3089020,1289.884252,1.159761363,3560,3069597,1422.476654,1.180062452,3600,3050686,1619.112189,1.028353553,3120,3033976,1855.596827,1.159732241,3500,3017938,2062.203233,1.253034693,3760,3000715,2364.175935,1.49601075,4460,2981262,2697.018983,1.517763067,4490,2958301,3093.36934,1.773161496,5200,2932615,3335.244164,1.956930336,5690,2907615,2884.33947,1.561583522,4510,2888094,2958.838999,1.508351191,4340,2877314,3098.742304,1.71734336,4940,2876536,3312.980008,1.9831921,5720,2884239,3406.536118,1.89812717,5500,2897593,3511.225059,1.881607731,5480,2912403,3607.289299,1.825292192,5340,2925559,3601.469664,1.726752782,5070,2936147,3860.218058,1.806581049,5320,2944789,4051.384967,1.880246268,5550,2951741
Aruba,ABW,29031.74375,..,..,68240,29324.79206,..,..,72495,29989.01814,..,..,76705,29367.30967,..,..,80324,28684.56498,..,..,83211,29901.35929,..,..,85450,29857.55966,..,..,87280,29640.04523,..,..,89009,31245.72404,..,..,90866,29656.10401,..,..,92892,28051.11922,..,..,94992,28008.50355,..,..,97016,29695.49296,..,..,98744,29670.28769,..,..,100028,29743.52963,..,..,100830,30160.52784,..,..,101226,30092.73937,..,..,101362,26903.17135,..,..,101452,25857.49338,..,..,101665,26647.64354,..,..,102050,26150.63694,..,..,102565,27090.02617,..,..,103165,27011.32032,..,..,103776,28396.90842,..,..,104339,28847.81406,..,..,104865,29286.24932,..,..,105361,..,..,..,105846
